800516: 6448008;6355910
800581: 7725955;7725689;7726058;7725811;7725676;7725590;7726368;7725594;7726367;7726365;7725853;7725616;7725518;7725770;7726060;7725965;7725966;7726369;7726062;7726059;7725769;7726371;7726372;7726373;7726374;7726375;7725608;7725607;7726236;7726422;7482358;7482315;7482314;7482804;7482957;7482310;7482313;7482312;7482319;7482745;7482669;7482668;7482487;7482954;7482871;7482529;7482816;7482665;7482667;7482666;7483116;7483087;7482743;7482495;7482438;7482348;7482385;7482418;7482306;7482535;7482537;7482536;7482417;7482316;7482801;7482493;7482491;7482497;7482806;7482769;7482772;7482532;7482770;7482744;7482800;7482373;7482484;7482370;7482423;7482397;7482746;7483089;6892297;6920641;6893666;6920595;6920672;6920632;6893680;6893615;6920678;6920622;6892308;6893600;6920586;6920665;6893699;6893588;6920661;6892349;6920657;6920577;6892641;6893707;6892961;6920607;6892652;6893673;6893593;6920617;6920603;6920620;6919278;6920675;6920637;6890256;6920633;6891327;6920583;6920614;6920598;6892293;6920670;6920609;6893691;6920545;6920601;6920547;6891330;6920580;6920667;6892345;6892646;6920649;6920627;6919256;6919375;6920581;6893603;6920592;6920612;6919262;6920645;6920635;6893714;6920630;6347076;6343193;6337474;6344847;6346635;6327856;6344383;6447219;6339113;6343170;6345401;6336504;6338017;6343227;6344720;6447500;6347095;6336280;6346929;6344897;6347075;6344439;6338580;6343203;6338911;6447526;6336489;6346632;6327855;6338892;6337838;6343360;6345180;6346267;6345702;6343164;6344674;6344420;6327938;6337478;6346633;6346413;6345509;6331629;6346285;6346594;6343620;6337511;6346624;6336464;6346273;6343125;6336276;6338572;6345402;6339091;6343589;6343616;6346634;6346630;6344445;6327851;6338893;6343563;6344373;6345489;6344535;6447533;6338943;6344765;6334991;6347094;6345352;6343766;6343767;6339179;6343331;6447512;6338816;6346928;6346896;6344666;6344842;6345507;6338821;6344883;6338902;6336492;6344472;6337889;6336505;6345353;6343548;6447833;6344152;6343791;6344063;6447799;6344443;6343863;6338559;6345394;6346628;6336469;6344688;6338764;6339018;6447504;6331631;6447836;6339093;6339090;6327939;6346930;6343281;6344376;6345488;6345395;6345029;6346011;6346084;6343196;6447509;6328285;6343547;6338576;6345709;6345703;6346425;6344633;6344634;6344111;6330474;6344438;6346894;6337476;6346631;6343566;6447814;6336454;6344375;6346284;6346623;6337757;6338575;6338846;6337212;6344632;6343614;6344442;6327854;6338895;6343969;6336455;6347080;6346626;6447809;6343195;6343168;6343931;6339094;6327937;6344636;6338814;6338815;6338818;6343615;6343618;6346627;6327852;6447700;6337970;6344885;6447797;6345480;6346908;6336460;6344764;6346683;6339019;6345350;6346009;6327960;6346265;6338573;6343902;6343509;6344893;6344892;6347077;6336446;6338586;6343562;6344374;6346283;6343689;6345393;6331632;6346640;6346641;6345295;6336781;6346426;6343797;6344898;6347074;6343202;6343619;6337475;6337502;6346415;6343713;6345508;6344884;6331682;6344377;6346595;6337512;6339110;6343296;6343293;6346866;6344034;6446972;6346269;6343166;6343165;6339092;6327961;6338910;6345506;6346926;6338901;6343454;6338976;6346917;6343169;6344675;6344153;6338817;6344894;6336448;6346417;6343862;6344626;6344690;6338908;6346010;6346085;6447506;6346643;6343510;6336281;6334989;6344635;6343796;6343798;6338813;6343201;6337473;6337477;6336630;6345994;6338904;6338900;6346014;6336462;6346087;6346081;6343358;6336275;6343888;6345745;6345706;6343163;6343330;6344895;6344843;6345505;6336457;6343280;6339286;6345487;6346278;6345406;6338793;6336374;6339015;6343887;6344723;6338977;6336491;6346625;6339112;6343455;6343359;6345392;6344035;6346916;6337383;6892289;6893611;6892665;6893652;6892301;6893643;6894280;6920654;6919280;6920572;6920575;6920616;6920524;6920618;6920605;7482532;7482537;7482348;7482665;7482772;7482535;7483116;7482954;7482668;7482746;7482370;7482484;7482491;7482306;7482312;7482423;7482957;7482770;7483087;7482871;7482487;7482397;7482314;7482418;7482669;7482667;7482745;7482313;7482816;7482373;7482744;7482806;7482497;7482493;7482316;7483089;7482800;7482769;7482801;7482438;7482743;7482666;7482315;7482417;7482536;7482495;7482529;7482310;7482385;7482319;7482804
800583: 7926848;7926852;7926864;7927920;7927922;7725828;7725833;7725831;7725792;7725457;7725832;7311526;6891804;6891790;6894223;6892676;6891792;6891809;6919374;6891813;6894201;6892681;6891798;6894227;6892693;6891825;6894179;6891433;6894220;6894185;6891760;6894570;6891787;6891795;6891768;6892711;6891781;6891818;6894197;6891800;6891773;6446860;6446808;6344161;6446749;6331674;6344553;6338680;6327880;6336383;6337303;6346963;6894605;6894205;6894233;6891807;6894611;6894190;6892716;6894194
800462: 6356009;6356013;6356018;6356010;6356008;6357371;6356020;6356017;6356012;6356007;6357368;6356014;6356016;6356011;6356021;6356015;6357369
800463: 6355651
800465: 6355629;6355642;6356928;6355633;6355625;6355626;6355631;6359813;6355628;6355622;6355643;6355623;6355627;6355624;6355641
800466: 6356648;6359683;6356649;6356643;6357632;6357163;6359684;6357638;6356646;6359693;6359694;6355229;6357630;6357635;6359708;6359669;6356644;6356572;6356570;6356651;6357633;6357157;6356571;6357166;6357158;6356647;6357629;6357639;6359695;6357167;6359679;6356653;6356654;6356652;6356645;6357703;6357161;6359670;6357156;6359685;6357159
800582: 6355260;6357095;6355255;6356974;6355258;6355252;6355263;6355587;6355262;6355253;6355585;6355261
930020: 
800469: 6359855
800867: 6355128
